Ticker;Date;Dividend;Split ratio
AFKS;19.07.2023;0.41;-
AFKS;17.07.2024;0.52;-
ALRS;18.10.2023;3.77;-
ALRS;31.05.2024;2.02;-
ALRS;19.10.2024;2.49;-
ASTR;09.07.2024;7.89;-
BSPB;29.08.2022;11.81;-
BSPB;10.05.2023;21.16;-
BSPB;09.10.2023;19.08;-
BSPB;06.05.2024;23.37;-
BSPB;30.09.2024;27.26;-
CHMF;18.06.2024;38.3;-
CHMF;18.06.2024;191.51;-
CHMF;10.09.2024;31.06;-
CHMF;17.12.2024;49.06;-
FLOT;05.07.2023;4.29;-
FLOT;07.01.2024;6.32;-
FLOT;20.07.2024;11.27;-
GAZP;11.10.2022;51.03;-
GMKN;14.06.2022;1166.22;-
GMKN;26.12.2023;915.33;-
GMKN;04.04.2024;-;100:01:00
HYDR;11.07.2023;0.05;-
IRAO;10.06.2022;0.24;-
IRAO;30.05.2023;0.28;-
IRAO;03.06.2024;0.33;-
LEAS;04.07.2022;16.67;-
LEAS;02.09.2022;12.5;-
LEAS;19.04.2023;16.67;-
LEAS;19.09.2023;12.5;-
LEAS;18.11.2023;19.17;-
LEAS;11.06.2024;25;-
LEAS;15.12.2024;50;-
LKOH;21.12.2022;256;-
LKOH;21.12.2022;537;-
LKOH;05.06.2023;438;-
LKOH;17.12.2023;447;-
LKOH;07.05.2024;498;-
LKOH;17.12.2024;514;-
MAGN;13.01.2022;2.66;-
MAGN;10.06.2024;2.75;-
MAGN;17.10.2024;2.49;-
MGNT;11.01.2024;412.13;-
MGNT;15.07.2024;412.13;-
MOEX;16.06.2023;4.84;-
MOEX;14.06.2024;17.35;-
MSNG;11.07.2022;0.22;-
MSNG;04.07.2023;0.19;-
MSNG;09.07.2024;0.16;-
MTSS;12.07.2022;33.85;-
MTSS;29.06.2023;34.29;-
MTSS;16.07.2024;35;-
NLMK;27.05.2024;25.43;-
NVTK;05.05.2022;43.77;-
NVTK;09.10.2022;45;-
NVTK;03.05.2023;60.58;-
NVTK;10.10.2023;34.5;-
NVTK;26.03.2024;44.09;-
NVTK;11.10.2024;35.5;-
PHOR;03.10.2022;780;-
PHOR;19.12.2022;318;-
PHOR;04.04.2023;465;-
PHOR;11.07.2023;264;-
POSI;08.05.2022;14.4;-
POSI;14.11.2022;5.16;-
POSI;16.04.2023;37.87;-
POSI;03.12.2023;15.8;-
POSI;26.03.2024;47.3;-
POSI;24.05.2024;4.56;-
ROSN;11.07.2022;23.63;-
ROSN;12.01.2023;20.39;-
ROSN;11.07.2023;17.97;-
ROSN;10.01.2024;30.77;-
ROSN;09.07.2024;29.01;-
RTKM;20.07.2022;4.56;-
RTKM;01.12.2023;5.45;-
RTKM;27.09.2024;6.06;-
RUAL;20.10.2022;1.21;-
SBER;11.05.2023;25;-
SBER;11.07.2024;33.3;-
SBERP;11.05.2023;25;-
SBERP;11.07.2024;33.3;-
SELG;21.06.2022;4.5;-
SELG;03.12.2023;2;-
SELG;15.06.2024;2;-
SELG;11.10.2024;4;-
SMLT;11.07.2022;41;-
SMLT;12.10.2022;41;-
SNGS;20.07.2022;0.8;-
SNGS;20.07.2023;0.8;-
SNGS;18.07.2024;0.85;-
SNGSP;20.07.2022;4.73;-
SNGSP;20.07.2023;0.8;-
SNGSP;18.07.2024;12.29;-
T;25.11.2024;92.5;-
TATN;08.07.2022;16.14;-
TATN;11.10.2022;32.71;-
TATN;10.01.2023;6.86;-
TATN;11.07.2023;27.71;-
TATN;11.10.2023;27.54;-
TATN;09.01.2024;35.17;-
TATN;04.07.2024;25.17;-
TATN;09.07.2024;25.17;-
TATN;08.10.2024;38.2;-
TATNP;08.07.2022;16.14;-
TATNP;11.10.2022;32.71;-
TATNP;10.01.2023;6.86;-
TATNP;11.07.2023;27.71;-
TATNP;11.10.2023;27.54;-
TATNP;09.01.2024;35.17;-
TATNP;09.07.2024;25.17;-
TATNP;08.10.2024;38.2;-
TRNFP;05.07.2023;166.65;-
TRNFP;18.07.2024;1.77;-
TRNFP;19.02.2024;-;100:01:00
VTBR;15.07.2024;-;3.513888889
YDEX;20.09.2024;80;-
