tradedate;tradetime;period_0.25;period_30.0
06.01.2014;12:21:16;5,92;8,72
08.01.2014;12:41:22;5,92;8,74
09.01.2014;18:38:19;5,78;8,74
10.01.2014;18:38:17;5,7;8,74
13.01.2014;18:37:26;5,81;8,77
14.01.2014;18:39:09;5,78;8,79
15.01.2014;18:38:21;5,78;8,81
16.01.2014;18:38:30;5,78;8,85
17.01.2014;18:39:49;5,84;8,88
20.01.2014;18:39:25;5,82;8,9
21.01.2014;18:38:47;5,93;8,93
22.01.2014;18:39:29;5,91;8,95
23.01.2014;18:38:07;5,93;8,98
24.01.2014;18:39:07;6,08;9,1
27.01.2014;18:39:32;6,02;9,14
28.01.2014;18:39:37;6,06;9,14
29.01.2014;18:38:35;6,16;9,18
30.01.2014;18:39:32;6,38;9,17
31.01.2014;18:39:46;6,22;9,07
03.02.2014;18:39:31;6,08;8,87
04.02.2014;18:39:50;6,02;8,76
05.02.2014;18:39:23;6;8,7
06.02.2014;18:39:19;6,08;8,73
07.02.2014;18:36:44;5,98;8,73
10.02.2014;18:37:12;6,01;8,75
11.02.2014;18:39:03;6;8,78
12.02.2014;18:39:46;6,08;8,78
13.02.2014;18:38:03;6,08;8,86
14.02.2014;18:32:09;6,02;8,83
17.02.2014;18:34:15;5,98;8,83
18.02.2014;18:39:17;6,07;8,91
19.02.2014;18:38:07;6,13;9
20.02.2014;18:38:52;5,86;8,93
21.02.2014;18:39:19;6,01;8,94
24.02.2014;18:35:23;5,88;8,84
25.02.2014;18:33:22;5,91;8,83
26.02.2014;18:35:25;5,75;8,86
27.02.2014;18:38:53;5,77;8,89
28.02.2014;18:38:35;5,76;8,87
03.03.2014;18:31:43;7,01;9,4
04.03.2014;18:34:20;6,73;9,25
05.03.2014;18:39:43;6,84;9,16
06.03.2014;18:39:02;6,9;9,22
07.03.2014;18:39:57;6,7;9,16
11.03.2014;18:39:54;6,49;9,14
12.03.2014;18:39:47;6,69;9,54
13.03.2014;18:37:46;6,66;9,71
14.03.2014;18:39:54;7,1;9,94
17.03.2014;18:38:59;6,1;9,55
18.03.2014;18:39:51;5,88;9,44
19.03.2014;18:38:38;6,16;9,47
20.03.2014;18:39:34;6,82;9,59
21.03.2014;18:35:24;6,79;9,73
24.03.2014;18:38:56;6,91;9,63
25.03.2014;18:37:06;6,61;9,35
26.03.2014;18:39:57;6,35;9,25
27.03.2014;18:38:06;6,59;9,33
28.03.2014;18:39:34;6,36;9,3
31.03.2014;18:38:14;6,3;9,09
01.04.2014;18:39:19;6,54;9,1
02.04.2014;18:39:29;6,18;9,12
03.04.2014;18:37:17;6,18;9,08
04.04.2014;18:37:48;5,91;8,95
07.04.2014;18:39:52;6,14;9,11
08.04.2014;18:39:53;6,09;8,99
09.04.2014;18:37:20;6,42;9,04
10.04.2014;18:38:54;6,59;9,13
11.04.2014;18:39:53;6,63;9,21
14.04.2014;18:37:50;6,53;9,26
15.04.2014;18:39:48;6,39;9,35
16.04.2014;18:39:45;6,61;9,42
17.04.2014;18:38:49;6,68;9,47
18.04.2014;18:38:59;6,58;9,32
21.04.2014;18:38:00;6,72;9,38
22.04.2014;18:36:36;6,6;9,39
23.04.2014;18:39:58;6,86;9,5
24.04.2014;18:38:47;6,86;9,64
25.04.2014;18:37:30;7,25;9,98
28.04.2014;18:39:25;7,18;9,95
29.04.2014;18:38:29;6,81;9,81
30.04.2014;18:35:19;6,81;9,77
02.05.2014;11:36:32;7,06;9,83
05.05.2014;18:33:29;7,25;9,91
06.05.2014;18:39:35;7,07;9,76
07.05.2014;18:39:38;7,23;9,54
08.05.2014;18:39:08;7,31;9,33
12.05.2014;18:35:36;7,41;9,24
13.05.2014;18:39:37;7,53;9,24
14.05.2014;18:35:40;7,36;9,12
15.05.2014;18:38:56;6,98;8,98
16.05.2014;18:33:18;6,89;8,96
19.05.2014;18:39:38;6,88;8,95
20.05.2014;18:39:40;7,14;8,86
21.05.2014;18:39:31;6,76;8,8
22.05.2014;18:39:10;6,82;8,85
23.05.2014;18:38:13;6,53;8,75
26.05.2014;18:38:47;6,48;8,7
27.05.2014;18:38:40;7,16;8,8
28.05.2014;18:39:38;6,89;8,86
29.05.2014;18:39:43;7,04;8,84
30.05.2014;18:39:11;7,18;8,8
02.06.2014;18:35:07;6,96;8,63
03.06.2014;18:32:06;7,31;8,7
04.06.2014;18:30:44;7,33;8,63
05.06.2014;18:39:31;7,39;8,57
06.06.2014;18:38:31;7,3;8,52
09.06.2014;18:39:35;7,35;8,49
10.06.2014;18:38:04;7,53;8,62
11.06.2014;18:38:43;7,73;8,68
16.06.2014;18:32:02;7,66;8,83
17.06.2014;18:38:35;7,78;8,9
18.06.2014;18:39:56;7,77;8,86
19.06.2014;18:37:24;7,77;8,83
20.06.2014;18:38:22;7,75;8,87
23.06.2014;18:39:12;7,79;8,85
24.06.2014;18:39:18;7,72;8,75
25.06.2014;18:38:19;7,64;8,71
26.06.2014;18:39:42;7,64;8,69
27.06.2014;18:36:36;7,71;8,7
30.06.2014;18:39:51;7,65;8,74
01.07.2014;18:39:53;7,64;8,81
02.07.2014;18:32:38;7,54;8,73
03.07.2014;18:34:02;7,43;8,74
04.07.2014;18:37:56;7,33;8,75
07.07.2014;18:35:43;7,27;8,61
08.07.2014;18:38:04;7,2;8,55
09.07.2014;18:39:47;7,26;8,55
10.07.2014;18:39:35;7,42;8,62
11.07.2014;18:39:54;7,51;8,64
14.07.2014;18:36:31;7,55;8,72
15.07.2014;18:39:39;7,66;8,74
16.07.2014;18:39:39;7,87;8,85
17.07.2014;18:39:33;7,91;9,05
18.07.2014;18:39:40;7,95;9,07
21.07.2014;18:39:36;8,14;9,33
22.07.2014;18:39:53;7,93;9,17
23.07.2014;18:39:50;7,98;9,13
24.07.2014;18:36:54;7,86;9,15
25.07.2014;18:39:53;7,93;9,29
28.07.2014;18:39:25;8,15;9,39
29.07.2014;18:39:44;8,36;9,54
30.07.2014;18:36:05;8,5;9,53
31.07.2014;18:39:00;8,33;9,54
01.08.2014;18:39:52;8,15;9,61
04.08.2014;18:38:42;8,18;9,68
05.08.2014;18:37:24;8,1;9,74
06.08.2014;18:38:33;8,13;9,91
07.08.2014;18:36:18;8,14;9,92
08.08.2014;18:38:25;7,85;9,91
11.08.2014;18:39:20;7,77;9,7
12.08.2014;18:39:50;7,73;9,59
13.08.2014;18:39:36;7,91;9,57
14.08.2014;18:39:04;7,84;9,46
15.08.2014;18:39:04;8,12;9,38
18.08.2014;18:29:18;7,97;9,38
19.08.2014;18:38:11;8,14;9,45
20.08.2014;18:39:19;7,97;9,39
21.08.2014;18:39:39;7,96;9,38
22.08.2014;18:39:41;7,62;9,39
25.08.2014;18:39:02;7,5;9,38
26.08.2014;18:39:58;7,54;9,41
27.08.2014;18:39:01;7,67;9,43
28.08.2014;18:38:43;7,98;9,69
29.08.2014;18:39:56;8,4;9,77
01.09.2014;18:39:37;8,38;9,82
02.09.2014;18:39:35;8,03;9,8
03.09.2014;18:39:57;7,67;9,5
04.09.2014;18:36:46;7,88;9,48
05.09.2014;18:39:03;7,78;9,45
08.09.2014;18:37:48;7,95;9,54
09.09.2014;18:39:25;7,99;9,5
10.09.2014;18:38:42;8,11;9,65
11.09.2014;18:36:28;7,92;9,66
12.09.2014;18:38:15;7,93;9,61
15.09.2014;18:37:25;8,1;9,64
16.09.2014;18:37:37;8;9,59
17.09.2014;18:39:39;7,87;9,52
18.09.2014;18:39:01;8,04;9,51
19.09.2014;18:39:42;8,02;9,49
22.09.2014;18:32:23;8,17;9,55
23.09.2014;18:38:33;8,13;9,44
24.09.2014;18:38:51;8,17;9,26
25.09.2014;18:38:54;8,21;9,14
26.09.2014;18:39:09;8,27;9,17
29.09.2014;18:39:02;8,13;9,23
30.09.2014;18:39:26;8,26;9,24
01.10.2014;18:38:04;8,19;9,24
02.10.2014;18:39:55;8,13;9,23
03.10.2014;18:39:13;8,05;9,36
06.10.2014;18:33:09;8,2;9,43
07.10.2014;18:39:19;8,36;9,5
08.10.2014;18:39:59;8,4;9,6
09.10.2014;18:39:40;8,31;9,58
10.10.2014;18:39:44;8,32;9,75
13.10.2014;18:39:16;8,36;9,79
14.10.2014;18:38:25;8,23;9,81
15.10.2014;18:38:22;8,2;9,78
16.10.2014;18:39:44;8,1;9,84
17.10.2014;18:39:56;8,05;9,85
20.10.2014;18:38:23;8,07;9,81
21.10.2014;18:36:02;8,02;9,71
22.10.2014;18:39:55;8,1;9,68
23.10.2014;18:37:30;8,24;9,82
24.10.2014;18:39:45;8;9,77
27.10.2014;18:38:22;8,03;9,77
28.10.2014;18:39:59;8,26;9,81
29.10.2014;18:38:02;8,82;9,97
30.10.2014;18:39:38;9,13;9,74
31.10.2014;18:39:06;8,77;9,84
03.11.2014;17:49:36;8,74;9,86
05.11.2014;18:38:36;9,37;9,84
06.11.2014;18:39:58;8,94;9,77
07.11.2014;18:38:31;9,19;9,89
10.11.2014;18:39:01;8,9;9,92
11.11.2014;18:39:45;9,14;9,98
12.11.2014;18:39:49;9,32;9,91
13.11.2014;18:37:18;9,38;9,91
14.11.2014;18:39:26;9,5;9,94
17.11.2014;18:38:30;9,46;9,96
18.11.2014;18:39:38;9,6;9,93
19.11.2014;18:36:04;9,69;9,92
20.11.2014;18:37:30;9,61;9,85
21.11.2014;18:39:19;9,44;9,83
24.11.2014;18:36:04;9,71;9,86
25.11.2014;18:38:05;9,81;9,87
26.11.2014;18:39:44;9,9;9,92
27.11.2014;18:39:14;9,99;9,98
28.11.2014;18:39:00;9,79;10,04
01.12.2014;18:39:15;10,32;10,18
02.12.2014;18:38:26;10,15;10,21
03.12.2014;18:39:07;10,33;10,37
04.12.2014;18:39:15;10,36;10,11
05.12.2014;18:39:18;10,35;11,19
08.12.2014;18:39:27;11,11;11,91
09.12.2014;18:38:00;11,28;12,02
10.12.2014;18:39:07;11,23;11,91
11.12.2014;18:37:41;11,01;11,91
12.12.2014;18:39:56;11,16;12,28
15.12.2014;18:37:52;11,3;12,28
16.12.2014;18:39:34;17,4;14,65
17.12.2014;18:34:53;13,51;11,62
18.12.2014;18:36:03;14,44;11,09
19.12.2014;18:39:42;15,3;11,06
22.12.2014;18:39:45;14,91;10,27
23.12.2014;18:39:00;15,28;10,23
24.12.2014;18:39:33;15,45;10,38
25.12.2014;18:39:27;14,86;10,27
26.12.2014;18:37:39;14,47;10,19
29.12.2014;18:35:22;13,57;10,2
30.12.2014;18:39:56;12,74;10,23
